Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,39.404999,40.594997,38.900002,40.220001,7.155366,22886570
2012-05-22,40.750000,40.990002,39.709999,39.934998,7.104661,10569460
2012-05-23,39.790001,40.139999,39.410000,39.614998,7.047733,9167190
2012-05-24,39.774998,40.240002,39.150002,39.855000,7.090431,8862570
2012-05-25,39.794998,40.980000,39.599998,40.825001,7.262999,9433960
2012-05-28,40.990002,41.540001,40.820000,41.174999,7.325266,6320610
2012-05-29,41.314999,41.820000,41.070000,41.580002,7.397318,7416160
2012-05-30,41.209999,41.450001,40.810001,41.024998,7.298579,5104210
2012-05-31,40.599998,40.700001,40.000000,40.285000,7.166930,6584230
2012-06-01,40.299999,40.740002,39.610001,39.799999,7.080645,6519720
2012-06-04,39.340000,40.500000,38.910000,40.259998,7.162482,7284370
2012-06-05,40.625000,40.880001,39.709999,39.849998,7.089541,5629790
2012-06-06,40.200001,41.090000,40.200001,40.965000,7.287905,6319780
2012-06-07,41.500000,41.950001,41.004997,41.160000,7.322598,7435550
2012-06-08,41.200001,41.634998,40.599998,41.049999,7.303027,8225810
2012-06-11,41.605000,41.880001,40.700001,40.985001,7.291464,5579730
2012-06-12,40.599998,41.419998,40.549999,41.259998,7.340387,7876200
2012-06-13,41.590000,41.664997,41.024998,41.139999,7.319039,6567800
2012-06-14,41.125000,41.634998,40.520000,40.660000,7.233644,6723770
2012-06-15,40.750000,41.490002,40.750000,41.340000,7.354621,5223020
2012-06-18,41.900002,42.500000,41.384998,41.875000,7.449800,12157880
2012-06-19,42.000000,42.490002,41.560001,42.020000,7.475596,8575470
2012-06-20,42.299999,42.945000,42.110001,42.684998,7.593903,8082630
2012-06-21,42.380001,43.189999,42.299999,43.024998,7.654391,6074380
2012-06-22,42.540001,42.689999,41.660000,41.864998,7.448020,7479130
2012-06-25,42.099998,42.470001,41.209999,41.454998,7.375079,5455750
2012-06-26,41.235001,41.250000,40.580002,41.040001,7.301250,8765600
2012-06-27,41.250000,42.189999,41.250000,42.070000,7.484492,7095760
2012-06-28,42.209999,42.990002,42.049999,42.840000,7.621478,6792850
2012-06-29,43.215000,44.389999,43.215000,44.130001,7.850978,7526160
2012-07-02,44.259998,45.389999,44.154999,44.700001,7.952384,7944510
2012-07-03,44.840000,45.024998,44.250000,44.564999,7.928366,6228070
2012-07-04,44.750000,45.490002,44.750000,45.209999,8.043116,6855140
2012-07-05,45.125000,45.340000,44.830002,45.125000,8.027993,4140170
2012-07-06,45.215000,45.270000,44.400002,44.744999,7.960388,4540460
2012-07-09,44.400002,44.470001,43.514999,43.704998,7.775366,4192170
2012-07-10,43.669998,44.180000,43.285000,43.895000,7.809170,5659350
2012-07-11,43.805000,44.344997,43.529999,43.634998,7.762914,5738930
2012-07-12,43.529999,43.625000,42.799999,42.945000,7.640159,5340910
2012-07-13,43.000000,43.330002,42.490002,42.564999,7.572554,5705390
2012-07-16,41.750000,41.855000,40.730000,40.884998,10.129359,6873460
2012-07-17,41.105000,41.380001,40.520000,40.619999,10.063705,7232520
2012-07-18,40.799999,41.375000,40.454998,41.114998,10.186343,6445900
2012-07-19,41.500000,41.660000,41.274998,41.465000,10.273057,4398740
2012-07-20,41.299999,41.779999,41.200001,41.580002,10.301549,4029900
2012-07-23,41.240002,41.240002,39.799999,39.950001,9.897712,7341770
2012-07-24,39.959999,40.270000,39.450001,39.700001,9.835774,7009670
2012-07-25,39.610001,39.805000,38.650002,38.744999,9.599169,8974960
2012-07-26,38.799999,39.094997,38.215000,38.414997,9.517411,9681900
2012-07-27,39.000000,40.244999,39.000000,39.930000,9.892756,9559880
2012-07-30,40.410000,41.180000,40.230000,41.020000,10.162807,5941140
2012-07-31,41.049999,41.575001,40.139999,41.360001,10.247044,6326360
2012-08-01,41.500000,41.669998,40.849998,40.934998,10.141747,5757300
2012-08-02,40.990002,41.035000,40.290001,40.590000,10.056273,5898350
2012-08-03,40.299999,40.299999,39.235001,39.695000,9.834535,7919070
2012-08-06,40.330002,40.875000,40.184998,40.430000,10.016632,4483780
2012-08-07,40.680000,40.939999,40.389999,40.605000,10.059989,4734980
2012-08-08,40.700001,41.485001,40.700001,40.834999,10.116973,7399100
2012-08-09,40.555000,40.974998,40.270000,40.630001,10.066184,6146970
2012-08-10,40.400002,40.689999,39.904999,40.040001,9.920010,4739120
2012-08-13,40.000000,40.150002,39.154999,39.564999,9.802326,8140940
2012-08-14,39.099998,40.799999,38.860001,40.605000,10.059989,14517910
2012-08-16,40.700001,40.970001,39.730000,39.820000,9.865503,8711900
2012-08-17,40.099998,40.200001,39.209999,39.480000,9.781267,7602790
2012-08-21,39.500000,39.750000,38.720001,39.220001,9.716852,9216060
2012-08-22,39.200001,39.650002,38.934998,39.259998,9.726762,8524810
2012-08-23,39.500000,40.279999,39.500000,39.860001,9.875414,10753510
2012-08-24,39.580002,39.625000,38.520000,38.770000,9.605363,9643130
2012-08-27,39.070000,39.130001,38.500000,38.549999,9.550858,9068310
2012-08-28,38.799999,38.889999,37.364998,37.840000,9.374955,9956420
2012-08-29,37.700001,37.904999,37.310001,37.439999,9.275853,5536660
2012-08-30,37.400002,37.400002,36.524998,36.669998,9.085083,8379640
2012-08-31,36.669998,36.779999,35.830002,36.250000,8.981028,11917480
2012-09-03,36.524998,36.669998,35.599998,35.805000,8.870777,8772080
2012-09-04,35.799999,36.485001,35.544998,36.310001,8.995893,6848450
2012-09-05,36.119999,36.169998,34.939999,35.070000,8.688680,13206490
